Fellow	Year	Citation
Zorana Popovic	2002	For contributions to the development of active antenna arrays and quasi-optical power combining techniques. 
Milos Radomir Popovic	2024	For contributions to novel electrical stimulation approaches and devices in biomedical engineering 
Petar Popovski	2016	For contributions to network coding and multiple access methods in wireless communications 
Fatih Porikli	2014	For contributions to computer vision and video surveillance 
Wolfgang Porod	2002	For contributions to circuit concepts and architectures for nanoelectronics. 
Denys Poshyvanyk	2024	For contributions to integrating software analyses and machine learning 
Marian Pospieszalski	1992	For contributions to the understanding and development of ultra-low-noise microwave amplifiers. 
Douglass Post	2006	For contributions to fusion science and modeling, and related software engineering. 
Ian Postlethwaite	2001	For contributions to multivariable control design and to control engineering education. 
Alexandros Potamianos	2016	For contributions to human-centered speech and multimodal signal analysis 
John Potter	2018	For contributions to ice-ocean interaction, oceanography, and underwater communication 
Alfred Potvin	1986	For contributions to biomedical instrumentation design, neurology, rehabilitation, manned space flight, and biomedical engineering. 
Radislav Potyrailo	2023	For contributions to sensor technologies for gas differentiation, interference rejection, and drift elimination 
Josep Pou	2017	For contributions to multilevel converters and renewable energy conversion 
Ken Poulton	2012	For contributions to high-speed analog-to-digital conversion 
John Poulton	2012	For contributions to high-speed low-power signaling and to graphics architecture 
Pouyan Pourbeik	2010	For contributions to modeling of power generation and transmission equipment 
Daniel Povey	2023	For contributions to acoustic modeling for speech recognition 
Dusan Povh	1994	For contributions to the analysis of ac and dc systems and control of high-voltage dc converters. 
Louie Powell	1995	For leadership in the development of protective principles as applied to electric power systems. 
John Powers	1990	For contributions to and leadership in manufacturing technology. 
William Powers	1992	For leadership in automotive applications of control systems. 
David Pozar	1990	For contributions to the electromagnetic analysis, development, and design of microstrip antennas and phased arrays. 
Sara Pozzi	2020	For contributions to neutron detection techniques and  neutron transport Monte Carlo methods 
Balaji Prabhakar	2011	For contributions to network theory and algorithms 
Vasant Prabhu	1986	For contributions to interference, noise, and spectral analysis of analog and digital communications systems. 
Sandeep Pradhan	2021	For contributions to coding for distributed compression and structured coding 
Jayasimha Prasad	2007	For contributions to compound semiconductor heterojunction bipolar transistors 
Ramjee Prasad	2009	For leadership in developing personal wireless communications technologies 
Birendra Prasada	1989	For leadership in the development of industry/university research in image coding and processing and for contributions to digital encoding of image signals. 
Viktor Prasanna	1996	For contributions to parallel architectures and algorithms. 
Dennis Prather	2020	For contributions to diffractive optical systems 
Domenico Prattichizzo	2016	For contributions to haptics and multi-fingered robotic hands 
James Preisig	2023	For contributions to underwater acoustic communication channel modeling, signal processing and performance prediction 
William Price	1995	For development and application of analytical methods for the analysis of power system performance. 
Christophe Prieur	2022	For contribution to nonlinear control systems 
Jerry Prince	2004	For contributions to signal and image processing for medical imaging. 
Jose Principe	2000	For development of the gamma neural model and for its applications in signal processing. 
Richard Prodan	2010	For leadership in the development of high definition television and broadband networks 
John Propst	2002	For contributions to the modeling of risk and reliability in industrial electrical systems. 
Paul Prucnal	1992	For contributions to photonic switching and fiber-optics networks. 
John Przybysz	2001	For contributions in the development and application of Josephson digital circuits to electronic systems, especially radars, communication satellites and data switching networks. 
Demetri Psaltis	2005	For contributions to the application of holography to information processing. 
Konstantinos Psounis	2018	For contributions to multi-hop wireless networks 
Calton Pu	2016	For contributions to system software specialization, information security, and services computing 
Ir Puers	2011	For contributions to implantable microelectromechanical systems 
David Pulfrey	2000	For contributions to the modeling of heterojunction bipolar semiconductor devices. 
John Pullen	1991	For technical leadership in computing systems and networking. 
Peter Pupalaikis	2013	For contributions to high-speed waveform digitizing instruments 
Ruchir Puri	2007	For contributions to automated logical and physical design of electronic circuits 
Michael Pursley	1982	For contributions to information theory and spread-spectrum communications. 
Hans Puttgen	2008	For contributions to international engineering education and electric power research development 
ROBERT CAIMING QIU	2015	For contributions to ultra-wideband wireless communiations 
JIANBIN QIU	2024	For contributions to intelligent fuzzy control systems and applications 
Yihong Qi	2023	For contributions to over-the-air testing of massive MIMO systems and development of over-the-air measurement systems 
Hairong Qi	2018	For contributions to collaborative signal processing in sensor networks 
Xiaoning Qi	2024	For leadership in open-source hardware of computer architecture and contributions to holistic interconnect system design 
Li Qi	2024	For contributions to DC distribution protection and architectures of DC shipboard power systems 
GuoJun Qi	2022	For contributions to multimedia analysis and applications 
Yi Qian	2019	For contributions to wireless communication networks and smart grid communication architectures 
Chunming Qiao	2010	For contributions to optical and wireless network architectures and protocols 
Wei Qiao	2020	For contributions to condition monitoring and control of power electronics interfaced rotating machine systems 
Hong Qiao	2019	For contributions to robotic manipulation and biologically inspired robotic cognition 
Si-Zhao Qin	2011	For contributions to model predictive control technology and fault diagnosis in industrial processes 
Xianming Qing	2019	For contributions to antennas for radio frequency identification systems 
Li Qiu	2007	For contributions to robust and optimal control of multirate and periodic systems 
Min Qiu	2016	For contributions to nanophotonic devices 
Zhihua Qu	2010	For contributions to control for nonlinear uncertain systems 
Gang Qu	2021	For contributions to hardware intellectual property protection and security 
Ronghai Qu	2018	For contributions to flux modulation machines and wind generators 
Thomas Quatieri	1999	For contributions to sinusoidal speech and audio modeling and nonlinear signal processing. 
Tony Q. S. Quek	2018	For contributions to heterogeneous and wireless  networks 
Raymond Quere	2009	For leadership in device characterization and computer aided design microwave engineering 
Daniel Quevedo	2021	For contributions to optimal and model predictive control 
Oscar Quevedo-Teruel	2023	For contributions to glide symmetry based metasurfaces and lens antennas 
MUNAF RAHIMO	2023	For contributions to high-voltage insulated gate bipolar transistors for grid applications 
Frederick Raab	2006	For contributions to modeling and design of high-efficiency power amplifiers and radio transmitters. 
Jan Rabaey	1995	For contributions in design synthesis and concurrent architectures for signal processing applications. 
Majid Rabbani	1998	For the development of image compression technology and products. 
Guy Rabbat	1988	For leadership and contributions to VLSI technologies. 
Daniel Rabideau	2020	For contributions to radar architectures and technologies 
Lawrence Rabiner	1976	For contributions to digital signal processing and speech communication research. 
Wendi Rabiner Heinzelman	2016	For contributions to algorithms, protocols, and architectures for wireless sensor and mobile networks 
Veronika Rabl	2024	For contributions to the design of demand response resources and electrification 
Farhad Rachidi	2010	For contributions to electromagnetic modeling of lightning and coupling to transmission lines 
Daniel Radack	2014	For leadership in microwave and millimeter-wave integrated circuit technologies and packaging techniques 
Milton Radant	1984	For leadership in development of pulse Doppler radar and digital signal processing. 
William Radasky	2009	For contributions to understanding high-power electromagnetic effects on electrical equipment 
Veljko Radeka	1976	For contributions to the theory and practice of nuclear detector signal processing. 
Hayder Radha	2009	For contributions to visual coding, communications and networking 
Vesna Radisic	2017	For contributions to millimeter- and submillimeter-wave sources, amplifiers, and monolithic integrated circuits 
Conor Rafferty	2000	For the development of pioneering simulation tools and models for technology computer aided design. 
Padma Raghavan	2014	For contributions to robust scalable sparse solvers and energy-efficient parallel scientific computing 
C Raghavendra	1997	For contributions to design and analysis of interconnection networks and fault tolerant  computing. 
Anand Raghunathan	2010	For contributions to the design of low-power and secure systems on chip 
Tawfik Rahal-Arabi	2007	For contributions in the area of microprocessor high speed bus and power delivery designs 
Susanto Rahardja	2011	For leadership in digital audio and signal processing 
B M Azizur Rahman	2016	For contributions to the application of fully vectorial  finite element methods to photonics design 
Khwaja Rahman	2017	For contributions to permanent magnet electric machines for electrified vehicles 
Muhammed Rahman	2014	For contributions to direct torque control of integrated permanent magnet machines 
Saifur Rahman	1998	For contributions to electric power engineering education. 
Yahya Rahmat-Samii	1985	For contributions to reflector antennas, near-field measurement techniques, and high-frequency electromagnetic diffraction. 
Farnoosh Rahmatian	2012	For contributions to optical voltage and current sensors in high-energy electric power systems 
Antti Raisanen	1994	For contributions to and leadership in millimeter-wave receiver technology. 
Bhiksha Raj	2017	For contributions to speech recognition 
Sarah Rajala	2001	For contributions to engineering education. 
Rajesh Rajamani	2022	For contributions to vehicle control in intelligent transportation systems 
Periasamy Rajan	1995	For contributions to research and teaching in multi-dimensional circuit theory and signal processing. 
B Rajan	2014	For contributions to high performance and low complexity space-time code designs for wireless communication systems 
Jagath Rajapakse	2012	For contributions to computational techniques for magnetic resonance imaging 
Sanguthevar Rajasekaran	2008	For contributions to sequential, parallel, and randomized algorithms and to bioinformatics 
Kaushik Rajashekara	1999	For contributions to advancement of propulsion systems for electric and hybrid vehicles. 
Janusz Rajski	2012	For contributions to digital VLSI circuit testing and test compression 
Hesham Rakha	2020	For contributions to optimization, modeling and assessment of transportation systems 
Vladimir Rakov	2003	For contributions to the understanding of lightning discharge phenomena. 
Rajeev Ram	2016	For contributions to semiconductor lasers and integration of photonics with CMOS electronics 
Bhuvana Ramabhadran	2017	For contributions to speech recognition and language processing 
V Ramachandran	1989	For contributions to theory of multivariable networks with applications to two-dimensional digital filters. 
Umakishore Ramachandran	2014	For contributions to programming idioms for parallel and distributed systems and design of scalable shared memory systems 
Siddharth Ramachandran	2019	For contributions to higher-order modes in optical fibers 
Peter Ramadge	1996	For contributions to the theory of adaptive control and the control of discrete event systems. 
S Ramadorai	2004	For leadership in the development of multidisciplinary software solutions. 
Omar Ramahi	2009	For contributions to computational electromagnetics in electromagnetic compatibility 
K K Ramakrishnan	2005	For contributions to congestion control and traffic management in communication networks. 
R Ramakumar	1994	For contributions to renewable energy systems and leadership in power engineering education. 
Ravi Ramamoorthi	2017	For contributions to foundations of computer graphics and computer vision 
Krithi Ramamritham	1998	For contributions to the theory and design of real-time systems. 
Bhaskar Ramamurthi	2015	For development of wireless technology in India 
P Ramanathan	2009	For contributions to real-time systems and networks 
S Ramanathan	2012	For contributions to mobile adhoc networks using topology control and directional antennas 
Srinivasan Ramani	2019	For contributions to computer networks for developing countries 
Sundaram Ramesh	2015	For contributions to entrepreneurship in engineering education 
Jaime Ramirez-Angulo	2000	For contributions to design methodologies for Analog Signal Processing Integrated Circuits. 
Ramachandran Ramjee	2007	For contributions to architecture, protocols, and performance of wireless networks 
Teofilo Ramos	2001	For contributions to international engineering education and for development of the Mexican Engineering Accreditation System. 
Li Ran	2024	For contributions to the modeling of power electronic devices 
Satish Ranade	2022	For contributions to integration of renewable and distributed energy resources into power systems 
Mary Ellen Randall	2019	For leadership in the development  and commercialization of audio-video decoders 
John Randall	2015	For contributions to nanofabrication technologies and applications 
Clive Randall	2022	For contributions to the formulation, processing, and characterization of electroceramics 
R K Raney	1991	For contributions to synthetic aperture radar theory, design, and applications. 
Sundeep Rangan	2016	For contributions to orthogonal frequency division multiple access cellular communication systems 
Muralidhar Rangaswamy	2006	For contributions to mathematical techniques for radar space-time adaptive processing. 
Rangaraj Rangayyan	2001	For contributions to biomedical signal and image analysis. 
Rajiv Ranjan	2024	For contributions to quality-of-service-aware resource management in cloud computing systems and big data analytics 
Sanjay Ranka	2002	For contributions to the theory and practice of high performance computing. 
Richard Ranson	2006	For contributions to advanced microwave systems. 
Anders Rantzer	2001	For contributions to the theory and computational analysis of uncertain and nonlinear systems. 
Bhaskar Rao	2000	For the statistical analysis of subspace algorithms for harmonic retrieval. 
RAGHUVEER Rao	2009	For contributions to higher-order statistics-based signal processing 
Ganti Rao	1998	For development of continuous time identification techniques. 
Sudhakar Rao	2006	For contributions to multiple beam and reconfigurable beam antenna payloads for communication satellites. 
Valluri Rao	2012	For contributions to the characterization technologies for microprocessor and logic circuits 
Nageswara Rao	2008	For contributions to algorithms for reliable communication in distributed sensor networks 
Ramesh Rao	2010	For leadership in wireless communications 
Alevoor Rao	2010	For contributions to understanding of image texture and applications to machine vision solutions 
Sadasiva Rao	2000	For contributions to the triangular patch modeling techniques in electromagnetic field problems. 
Chandrasekhara Rao	2008	For development of synchronous reluctance motors and power-dense motor, generator and power conversion systems 
Rajesh Rao	2023	For contributions to brain-computer interfaces and computational modeling 
Yun-Jiang Rao	2017	For contributions to optical fiber sensors and applications 
Ramgopal RaoValipe	2017	For contributions to CMOS System-on-Chip technologies 
Carey Rappaport	2006	For contributions to modeling electromagnetic wave propagation in complex media. 
Elliot Rappaport	2012	For contributions to grounding in industrial and commercial power systems 
Louiqa Raschid	2021	For contributions to data management, information integration and data mining 
Muhammad Rashid	2001	For leadership in power electronics education and contributions to the analysis and design methodologies of solid-state power converters. 
M Rashwan	1998	For technical leadership and contributions to the design, commissioning and operation of HVDC transmission systems. 
Jean-Pierre Raskin	2014	For contributions to the characterization of silicon-on-insulator RF MOSFETs and MEMS devices 
Robert Rassa	2004	For contributions to automated system testing. 
Nalini Ratha	2007	For contributions to biometric authentication systems 
Akshay Rathore	2021	For contributions to the design and advancement of power electronics for drives and automotive industries 
N Rau	1998	For contributions to the techniques of reliability and production cost computations in electric power systems. 
Stewart Rauch	2019	For contributions to microelectronics reliability 
Lawrence Rauchwerger	2012	For contributions to thread-level speculation, parallelizing compilers, and parallel libraries 
James Rautio	2000	For development of practical electromagnetic analysis techniques. 
Umberto Ravaioli	2003	For contributions to Monte Carlo simulation of electron devices. 
R Ray	2000	For contributions to power systems communications and protective relaying systems. 
Asok Ray	2002	For contributions to aerospace and electromechanical systems. 
Gregory Raybon	2016	For contributions to high-speed optical communication systems 
Dipankar Raychaudhuri	1995	For contributions to the areas of multiple-access packet networks and digital video technology. 
Daniel Razansky	2022	For contributions to multispectral optoacoustic tomography 
Behzad Razavi	2003	For contributions to high-speed communication circuits. 
Adel Razek	1999	For contributions to 3D electromagnetic field modelling and coupled phenomena analysis in electromagnetic systems. 
John Reagan	1988	For accomplishments in lidar and solar radiometric atmospheric sensing, and for contributions to electrical engineering education. 
Gabriel Rebeiz	1997	For the development of novel microwave and millimeter-wave antennas, receivers and circuits using micromachining techniques. 
Sherief Reda	2023	For contributions to energy-efficient and approximate computing 
Harnatha Reddy	1992	For contributions to multivariable circuit theory and its application to multidimensional stability analysis and digital filter design. 
C Reddy	2018	For leadership in simulation methods for antenna placement and co-site analysis 
A L Narasimha Reddy	2010	For contributions to multimedia storage and network support 
Sudhakar Reddy	1987	For contributions to the design of testable digital logic circuits and fault-tolerant computing. 
Vellenki Reddy	1999	For contributions to adaptive spectral estimation and eigensubspace estimation. 
Raj Reddy	1983	 
Wanda Reder	2012	For leadership in power engineering implementation and workforce development 
G Redinbo	1997	For contributions to fault-tolerant design methods applicable to computer and communication systems. 
Richard Redl	2008	For contributions to the design and application of power electronic circuits 
William Redman-White	2014	For contributions to chip design aspects of telecommunications systems and RFIC design 
Robert Reed	2014	For contributions to understanding the effects of single-event particle radiation on integrated circuits 
Jeffrey Reed	2005	For contributions to software radio and communications signal processing and for leadership in engineering education. 
Mark Reed	2009	For contributions to nanoscale and molecular-scale electronic devices 
Edward Reedy	1991	For technical leadership and contributions to developing and exploiting the millimeter wavelengths in radar applications. 
Gamal Refai-Ahmed	2021	For leadership in thermal management of electronics product development 
Leonard Register	2016	For contributions to modeling of charge transport in nanoscale CMOS devices 
William Regli	2017	For contributions to 3D search, design repositories and intelligent manufacturing 
T Regulinski	1984	For contributions to research and education in reliability. 
Christian Rehtanz	2023	For contributions to wide area monitoring, protection and control systems for electrical power grids 
Johan Reiber	2005	For contributions to medical image analysis and its applications. 
Amy Reibman	2005	For contributions to the transport of video over networks. 
Herbert Reichl	2001	For contributions to microelectronic packaging. 
Clayton Reid	2003	For contributions to medium voltage motor control technology. 
Rafael Reif	1993	For pioneering work in the low-temperature epitaxial growth of semiconductor thin films. 
Andreas Reigber	2016	For contributions to SAR tomography and airborne multi-band SAR 
J-Patrick Reilly	1999	For contributions to the understanding of biological response to electric current and electromagnetic fields with application to medical devices and safety standards. 
Ulrich Reimers	2006	For contributions to the development of Digital Video Broadcasting (DVB). 
Joseph Reinhardt	2020	For contributions to medical image processing and analysis 
Robert Reinovsky	2003	For contributions to pulsed power science and technology. 
Sorel Reisman	2022	For leadership in design, implementation and adoption of open education resources 
Martin Reisslein	2014	For contributions to the design and performance evaluation of metropolitan networks and multimedia networking mechanisms 
Michael Reiter	2014	For contributions to computer security and fault-tolerant distributed computing 
Johann Reithmaier	2011	For research in active semiconductor nanostructures 
Reza Rejaie	2017	For contributions to multimedia and peer-to-peer networking, and Internet measurement 
Kate Remley	2013	For contributions to calibration and measurement of wireless communication systems 
Haoxing Ren	2024	For contribution to physical synthesis of integrated circuits 
Wei Ren	2016	For contributions to distributed coordination and control of multi-agent systems 
Kui Ren	2016	For contributions to security and privacy in cloud computing and wireless networks 
Stephen Renals	2014	For contributions to speech recognition technology and its use in spoken language processing 
Markku Renfors	2008	For contributions to digital signal processing algorithms 
Michel Renovell	2013	For contributions to failure analysis and to defect-oriented tests of digital and analog circuits and systems 
Bruce Renz	1997	For leadership in management of engineering projects associated with large power projects and extra-high voltage transmission systems. 
Aristides Requicha	1992	For contributions to the theory and practice of three-dimensional geometric modeling, and to its applications in programmable automation. 
Spiridon Reveliotis	2015	For contributions to discrete event systems for resource allocation 
Jennifer Rexford	2018	For contributions to the management of networks and associated routing systems 
Douglas Reynolds	2010	For contributions to Gaussian-mixture-model techniques for automatic speaker recognition 
Edward Rezek	2001	For contributions to GaAs and InP monolithic microwave integrated circuits and optoelectronic devices. 
Woogeun Rhee	2023	For contributions to phase-locked circuits and systems 
Jin Koo Rhee	2010	For contributions to Gallium Arsenide, Microwave and Millimeter-wave Monolithic Integrated Circuits 
Walden Rhines	2017	For leadership and technology innovation in integrated circuit design and automation 
Charles Rhoads	2017	For leadership in low cost and high performance array antenna technologies 
V Rhyne	1990	For contributions to the discipline of computer engineering and to computer engineering education. 
Sedki Riad	1992	For contributions to time-domain measurement s through physical modeling of sampling devices. 
Paulo Ribeiro	2003	For contributions to the understanding of harmonic penetration in transmission systems, and advancement of superconducting magnetic energy storage system applications. 
Giuseppe Riccardi	2010	For contributions to algorithms for automatic speech recognition and spoken language processing 
Daniele Riccio	2014	For contributions to satellite-based synthetic aperture radar imaging 
Michael Rice	2017	For contributions to communication waveforms, detection algorithms, and channel models for aeronautical telemetry 
Gael Richard	2017	For contributions to analysis, indexing and decomposition of audio and music signals 
John Richards	1996	For scientific contributions in the fields of earth observational remote sensing. 
Mark Richards	2012	For contributions in radar signal processing education 
John Richardson	1965	For contributions to atomic frequency and time interval standards. 
Martin Richardson	2014	For contributions to the development and application of high-power and ultrafast lasers 
Thomas Richardson	2007	For contributions to coding theory and practice 
David Richardson	2015	For contributions to optical fiber technology 
Paul Richman	1982	For contributions to the theoretical analysis, development, and manufacture of large scale integrated circuits. 
Christ Richmond	2020	For contributions to adaptive array processing algorithms 
Kurt Richter	2005	For contributions to the theory and application of computational electromagnetics. 
Nick Ridler	2014	For contributions to traceability in precision high-frequency electromagnetic measurements 
George Ridley	2020	For contribution to stator core insulation condition analysis in large hydroelectric generators 
Jae-Sung Rieh	2020	For contributions to silicon-germanium integrated circuits for wireless communications 
Rasheek Rifaat	2015	For contributions to protection of industrial power systems 
Brian Rigling	2018	For contributions to synthetic aperture radar imaging 
Gerhard Rigoll	2019	For contributions to multimodal human-machine communication 
William Riley	2003	For contributions to high performance rubidium gas cell frequency standards and stability analysis. 
Michael Riley	2018	For contributions to automatic speech recognition using Weighted Finite-State Transducers 
Douglas Riley	2010	For contributions to time-domain techniques in computational electromagnetics 
Chuntaek Rim	2020	For contributions to wireless power transfer for electric vehicles and mobile devices 
Bixio Rimoldi	2000	For contributions to multiple-access information theory. 
Robert J Ringlee	1974	For contributions to practical methods for assessing and improving reliability of power apparatus and systems. 
John Ringwood	2024	For contributions to wave energy conversion systems 
Charles Rino	1989	For contributions in wave propagation in continuous and discrete random media and ionosphere physics. 
Eve Riskin	2009	For contributions to variable-rate image and video compression and to engineering education 
James Ritcey	2011	For contributions to bit-interleaved coded modulation with iterative decoding 
Stefan Ritt	2016	For the development of the Domino Ring Sampler series of chips 
Jerome Rivard	1987	For leadership in the production and implementation of electronic control systems for vehicles. 
Nabeel Riza	2007	For contributions to acousto-optic, liquid crystal, and micromirror device applications in photonic signal processing and controls 
Farouk Rizk	1982	For contributions to the science of high-voltage technology and for technical leadership in the advancement of the electrical power industry. 
Giorgio Rizzoni	2004	For leadership in automotive control systems. 
Laura Roa	2003	For contributions to new resuscitation therapies for burn patients that are based on mathematical modeling, simulation, and control techniques. 
Yves Robert	2006	For contributions to the design and analysis of parallel algorithms and scheduling techniques. 
Thomas Robertazzi	2006	For contributions to parallel processor scheduling. 
Gordon Roberts	2004	For contributions to the design and test of analog and mixed-signal integrated circuits, and education 
John Robertson	2013	For contributions to the understanding of high-k dielectrics and metal gate electrodes for CMOS technology 
Frank Robey	2017	For leadership in development of advanced radar systems 
Kelly Robinson	2011	For contributions to electrostatic performance of manufacturing processes and imaging devices 
Charles Robinson	1991	For leadership in the field of rehabilitation engineering research and development. 
Jorge Rocca	2000	For the development of plasma excited lasers and the table-top soft x-ray laser. 
Paolo Rocca	2023	For contributions to clustered and time-modulated antenna arrays 
Miguel Raul Rodrigues	2023	For contributions to multimodal data processing and foundations of reliable and secure communications 
Joel Rodrigues	2020	For contributions to Internet of Things and vehicular communications 
Jose Rodriguez	2011	For the development of new topologies and control methods for power electronic converters and drives 
Juan Rodriguez	1992	For technical leadership in the development of computer data storage devices. 
Pablo Rodriguez	2016	For contributions to the design and development of content distribution architectures in the Internet 
Pedro Rodriguez	2014	For contributions to the control of distributed power generation 
Juan Rodriguez-Andina	2023	For contributions to embedded systems in industrial electronics 
A Rodriguez-Vazquez	1996	For contributions to the design and applications of analog/digital nonlinear ICs 
Esther Rodriguez-Villegas	2024	For contributions to low power biomedical circuits and systems for wearable medical applications 
Mark Rodwell	2003	For contributions to high speed electron devices and integrated circuits. 
Antoine Roederer	1996	For contributions in the field of arrays and multibeam reflector antennas. 
Ajeet Rohatgi	1991	For theoretical and experimental contributions to the design and fabrication of high-efficiency solar cells. 
Ulrich Rohde	2002	For contributions to and leadership in the development and industrial implementation of microwave computer-aided design technology. 
Hermann Rohling	2006	For contributions to automotive radar. 
Robert Rohling	2019	For contributions to ultrasound for medical diagnosis and intervention 
Ronald Rohrer	1980	For theoretical contributions and practical software for computer-aided circuit design. 
Roberto Rojas	2001	For contributions to the understanding of high frequency electromagnetic radiation and scattering. 
Jon Rokne	2013	For contributions to computer graphics and geographic information systems 
Yves Rolain	2006	For contributions to measurement and modeling of nonlinear microwave devices. 
Fabio Roli	2012	For contributions to multiple classifier systems 
Arturo Roman-Messina	2012	For contributions to analysis of electric power system 
Hans Rombach	2003	For contributions to experimental software engineering. 
Justin Romberg	2018	For contributions to compressive sensing 
Jordi Romeu Robert	2012	For contributions to the development of fractal antennas 
Haisheng Rong	2022	For contributions to silicon photonics devices 
Bryan Root	2021	For leadership in improving semiconductor reliability test methods 
David Root	2002	For contributions to nonlinear modeling of active semiconductor devices. 
Michael Ropp	2024	For contributions to distributed energy resources integration in power systems 
Christopher Rose	2007	For contributions to wireless communication systems theory 
Jonathan Rose	2009	For contributions to field-programmable gate arrays 
Richard Rose	2013	For contributions in acoustic modeling of automatic speech and speaker recognition 
Kenneth Rose	2003	For contributions to information-theoretic methods in signal processing. 
Paul Rosen	2011	For contributions to Earth and planetary radar remote sensing 
Elyse Rosenbaum	2011	For contributions to electrostatic discharge reliability of integrated circuits 
Arnold Rosenberg	1997	For fundamental contributions to theoretical aspects of computer science and engineering. 
Catherine Rosenberg	2011	For contributions to resource management in wireless and satellite networks 
A Rosenberg	1984	For contributions to speech and speaker recognition. 
Luke Rosenberg	2024	For contributions to maritime radars 
David Rosenblum	2006	For contributions to scalable, distributed component- and event-based software systems. 
Larry Rosenblum	2024	For leadership in developing mobile augmented reality and visualization, and in visual analytics 
Philip Rosenkranz	1997	For contributions to the spectroscopy of oxygen and water vapor and to microwave radiometric remote sensing. 
Joachim Rosenthal	2019	For contributions to algebraic coding theory and cryptography 
Tajana Rosing	2018	For contributions to power and reliability management of Systems-on-Chip 
Mark Rosker	2012	For leadership in microwave and millimeter-wave phased arrays, gallium nitride semiconductors, and terahertz electronics 
Caroline Ross	2013	For contributions to synthesis and characterization of nanoscale structures and films for magnetic and magneto-optical devices 
Lucio Rossi	2013	For leadership in developing magnetic systems for the Large Hadron Collider 
Thomas Rossing	2005	For contributions to engineering education, acoustics and magnetic devices. 
Joseph Rostron	2024	For leadership in power switching interrupter design and development of circuit breakers and switchers 
Grigore Rosu	2021	For contributions to runtime verification and programming language semantics 
Mario Rotea	2007	For contributions to robust and optimal control of multivariable systems 
Eric Rotenberg	2015	For contributions to the microarchitecture of high-performance and reliable microprocessors 
Ron Roth	2003	For contributions to algebraic and modulation coding. 
Edward Rothwell	2005	For contributions to the development of radar target identification, discrimination, and detection schemes. 
Helmut Rott	2009	For contributions to microwave techniques for evaluating climate change 
Matthew Roughan	2019	For contributions to Internet measurement and analysis 
Stergios Roumeliotis	2016	For contributions to visual-inertial navigation and cooperative localization 
William Rouse	1985	For contributions to understanding and modeling human decision making and problem solving in engineering systems. 
George Rouskas	2012	For contributions in algorithms, protocols, and architectures of optical networks 
Christian Roux	2005	For contribution to the theory of functional shapesand its applications in medical imaging. 
Riccardo Rovatti	2012	For contributions to nonlinear and statistical signal processing applied to electronic systems 
Diane Rover	2016	For contributions to active learning methods in engineering education 
Chris Rowen	2016	For leadership in the development of microprocessors and reduced instruction set computers 
James Rowland	1995	For leadership in electrical engineering education. 
Simon Rowland	2014	For contributions to the application of polymers in high voltage systems 
Kaushik Roy	2002	For contributions to the power-aware design of digital circuits. 
Sumit Roy	2007	For contributions to multi-user communications theory and cross-layer design of wireless networking standards 
Romit Roy Choudhury	2019	For contributions to wireless network protocols and indoor localization 
Amit Roy-Chowdhury	2019	For contributions to video-based tracking and behavior analysis 
Badrinath Roysam	2018	For contributions to image processing algorithms for biological microscopy 
Yuriy Rozanov	2011	For contributions to electrical power engineering education 
Xinbo Ruan	2016	For contributions to switching-mode power converter topologies and modulation strategies 
Ahmed Rubaai	2015	For contributions to the development of high-performance controls for motor drives 
Izhak Rubin	1987	For contributions to the analysis and design of computer communication systems and networks, and to engineering education. 
Marcos Rubinstein	2014	For contributions to modeling lightning and its electromagnetic effects 
Rich Ruby	2010	For contributions to film bulk acoustic resonators, filters, and duplexers for mobile phones 
Massimo Rudan	2008	For contributions to theory and modeling of current transport in semiconductor devices 
Imre Rudas	2002	For contributions to the theory and applications of computational intelligence for the control of electro-mechanical and robotic systems. 
Karen Rudie	2018	For contributions to the supervisory control theory of discrete event systems 
Harry Rudin	1983	For contributions to the analysis of computer communication network performance and protocols. 
Hugh Rudnick	2000	For contributions to electric power sector deregulation in Latin America. 
Daniel Rueckert	2016	For contributions to biomedical image computing 
Albert Ruehli	1984	For key contributions to the field of computer-aided design. 
C Ruf	2001	For contributions in the development, calibration, and remote sensing applications of microwave radiometers. 
Alfred Rufer	2006	For contributions to supercapacitive energy storage techniques and asymmetrical multilevel inverters. 
Marina Ruggieri	2014	For contributions to millimeter-wave satellite communications 
Wilson Rugh	1997	For contributions to the theory of nonlinear systems and control. 
W Rummler	1989	For contributions to the modeling of multipath fading and its effect on microwave digital radio. 
Thomas Runkler	2022	For contributions to computational intelligence in clustering and control 
Daniela Rus	2010	For contributions to distributed and modular robotics 
Leslie Rusch	2010	For contributions in optical and wireless communications systems 
Charles M Rush	1990	For leadership and technical contributions to telecommunications programs in high-frequency broadcasting and target location, and to radio propagation analysis and modeling. 
Stephen Russek	2024	For contributions to metrology of spintronic devices and standardization of magnetic resonance imaging 
Don Russell	1991	For the development of high-impedance fault detection techniques using digital methods. 
Peter Russer	1994	For fundamental contributions to noise analysis and low-noise optimization of linear electronic circuits with  general topology. 
Leszek Rutkowski	2005	For contributions to neurocomputing and flexible fuzzy systems. 
David Rutledge	1993	For leadership in the theory, development, and application of integrated antennas in the millimeter-wave and terahertz regimes. 
Jerzy Ruzyllo	2004	For contributions to ultrathin oxidation in microelectronic manufacturing. 
Thomas Ryan	2011	For contributions to channel coding for reliable data transmission and storage 
Carl Ryan	1985	For contributions to the deign and prototyping of very high data-rate communications systems and wide-band signal processing electronics. 
Roland Ryf	2019	For contributions to optical switching and multiplexing technology 
