Fellow,Year,Country,University,Citation
Seishi Takamura,2019,Japan,Tokyo Institute of Technology,For application of video coding 
Shinzo Tamai,2021,Japan,Osaka University,For contributions to control for motor drives and three-level converters 
HarkHoe Tan,2019,Singapore,National University of Singapore,For contributions to compound semiconductor optoelectronic materials and devices 
Hong Tan,2017,United States,Purdue University,For contributions to wearable haptics 
Chuan Seng Tan,2022,Singapore,Nanyang Technological University,For contributions to wafer bonding technology for 3D packaging and integration 
Siew Chong Tan,2024,Singapore,National University of Singapore,For contribution to the control of power converters and sustainable lighting technologies 
Xiaobo Tan,2017,United States,Michigan State University,For contributions to modeling and control of smart materials and underwater robots 
Yoichiro Tanaka,2024,Japan,Waseda University,For contributions to perpendicular magnetic recording technology for disk drives 
Shuji Tanaka,2018,Japan,Tohoku University,"For contributions to micro-electromechanical systems for acoustic wave devices, physical sensors, and power generation "
Ke Tang,2023,China,Tsinghua University,For contributions to scalable evolutionary algorithms for large-scale optimization 
Lixin Tang,2023,China,Northeastern University (China),For contributions to computational intelligence and applications in manufacturing 
Yang Tang,2024,China,East China University of Science and Technology,For contributions to hybrid multi-agent systems and complex networks 
Nelson Tansu,2021,Malaysia,University of Macau,For contributions to semiconductor photonics technologies 
Toru Tanzawa,2016,Japan,University of Tokyo,For contributions to integrated high-voltage circuits 
Dacheng Tao,2015,Australia,University of Sydney,For contributions to pattern recognition and visual analytics 
Yufei Tao,2024,Hong Kong,The Chinese University of Hong Kong,For contributions to large-scale data processing 
Sophie Tarbouriech,2024,France,LAAS-CNRS,For contributions to nonlinear control systems with isolated nonlinear elements 
Ivan Tashev,2021,United States,Microsoft Research,For contributions to audio signal processing systems and algorithms for commercial microphone arrays 
Paul Tasker,2015,United Kingdom,Cardiff University,For contributions to microwave measurements and their application to microwave models 
David Taubman,2015,Australia,University of New South Wales,For contributions to image and video communications 
Maria Cristina Tavares,2024,Brazil,Federal University of Minas Gerais,For contributions to single-phase and three-phase auto-reclosing switching of transmission lines 
Andrew Tay,2023,Singapore,National University of Singapore,For contributions to hygro-thermo-mechanical failure prevention of semiconductor packaging 
Abdelhamid Tayebi,2023,Canada,Lakehead University,For contributions to the control of unmanned aerial vehicles and learning-based control for robot manipulators 
Daniel Tazartes,2022,France,Université Pierre et Marie Curie (UPMC),For contributions to inertial sensors and navigation systems 
Smail Tedjini,2023,France,Grenoble INP,For contributions to the development of harmonic backscattering RFID systems and chipless tag solutions 
Mark Tehranipoor,2018,United States,University of Florida,For contributions to integrated circuits security and trust 
Juergen Teich,2018,Germany,Friedrich-Alexander University Erlangen-Nürnberg,For contributions to hardware/software co-design for embedded systems 
Fernando Teixeira,2015,United States,The Ohio State University,For contributions to time-domain electromagnetic techniques and applications 
Bruce Terris,2020,United States,Western Digital,For contributions to high density magnetic recording and spintronic materials 
My Thai,2021,United States,University of Florida,"For contributions to modeling, design, and optimization of networked systems "
Rajeev Thakur,2022,United States,Argonne National Laboratory,For contributions to high-performance interfaces for scalable computing systems 
Luc Thevenaz,2017,Switzerland,École Polytechnique Fédérale de Lausanne,For contributions to Brillouin-based fiber-optic sensors 
Jan-Ulrich Thiele,2019,Germany,Technische Universität Dresden,For contributions to magnetic recording 
John Thompson,2016,United Kingdom,University of Edinburgh,For contributions to multiple antenna and multi-hop wireless communications 
Marina Thottan,2018,United States,Stevens Institute of Technology,For leadership in high-speed internet-protocol networks 
Rajeev Thottappillil,2015,Sweden,KTH Royal Institute of Technology,For contributions to the understanding of lightning and electromagnetic interference 
Thomas Thundat,2021,Canada,University of Alberta,For contributions to multi-modal microelectromechanical systems for chemical and biological sensors 
Qi Tian,2016,United States,University of Texas at San Antonio,For contributions to multimedia information retrieval 
Yingli Tian,2018,United States,City College of New York,For contributions to automatic facial expression analysis and human activity understanding 
Edward Tiedemann,2021,United States,Qualcomm (affiliated with Stanford University),For innovation and standardization of digital cellular communications 
Olav Tirkkonen,2023,Finland,Aalto University,For contributions in the theory and practice of wireless communications technology and standards 
Robert Tjoelker,2023,United States,"Jet Propulsion Laboratory, California Institute of Technology",For contributions advancing trapped ion microwave clocks and deep-space frequency and timing systems 
Ravi Todi,2020,United States,Western Digital,For contributions to innovative design and commercialization of high performance eDRAM 
Yuichi Tohmori,2015,Japan,NTT (Nippon Telegraph and Telephone Corporation),For contributions to tunable semiconductor lasers for optical fiber communications 
Ioannis Tomkos,2019,Greece,Athens Information Technology,For contributions to dynamic optical networks 
Jianzhong Tong,2017,United States,General Electric Global Research,For contributions to real-time power system operations 
Kin Fai Tong,2023,United Kingdom,University of Birmingham,For contributions to wideband and circularly polarized printed antenna designs 
Hanghang Tong,2022,United States,University of Illinois at Urbana-Champaign,For contributions to graph mining 
Akira Toriumi,2016,Japan,The University of Tokyo,For contributions to device physics and materials engineering for advanced CMOS technology 
Massimo Tornatore,2023,Italy,Politecnico di Milano,For contributions to machine-learning and optimization algorithms for resource management in optical networks 
Vicenc Torra,2017,Spain,University of Skövde,"For contributions to fuzzy sets, decision under uncertainty, and data privacy "
Carme Torras,2019,Spain,Institut de Robòtica i Informàtica Industrial (UPC-CSIC),"For contributions to learning algorithms for robot perception, planning and manipulation "
David Torrey,2019,United States,General Electric Global Research,"For contributions to modeling, design, and control of electric machines and drives "
Piero Tortoli,2019,Italy,University of Florence,For contributions to ultrasound signal processing hardware and algorithms 
Georgia Tourassi,2024,United States,Oak Ridge National Laboratory,For contributions to artificial intelligence and high performance computing in medicine 
Ridha Touzi,2015,Canada,York University,For contributions to design and calibration of polarimetric synthetic aperature radar 
Gregg Trahey,2022,United States,Duke University,For contributions to speckle tracking and acoustic radiation force impulse imaging in medical ultrasound 
Harry Trentelman,2015,Netherlands,University of Groningen,For contributions to geometric theory of linear systems and behavioral models 
Jocelyne Troccaz,2018,France,Université Grenoble Alpes,For contributions to robotics and imaging for medical applications 
Mi-Ching Tsai,2021,Taiwan,National Cheng Kung University,For leadership in magnetic materials for the electric motor industry 
Hon Tsang,2019,United Kingdom,University of Oxford,For contributions to nonlinear silicon photonics and advanced waveguide grating couplers 
Ivor Tsang,2022,Australia,University of Technology Sydney,For contributions to large-scale machine learning and transfer learning 
Kim Fung Tsang,2024,Hong Kong,City University of Hong Kong,For contributions to systems safety engineering 
Vincent Tseng,2021,Taiwan,National Cheng Kung University,For contributions to utility pattern mining and biomedical applications 
John Tsotsos,2018,Canada,York University,For contributions to active vision and computational models of visual attention 
Takatoshi Tsujimura,2021,Japan,Ryukoku University,For contributions to the development of organic-light-emitting diode systems 
Fredrik Tufvesson,2017,Sweden,Lund University,For contributions to measurement and modeling of wireless propagation channels 
Daniela Tuninetti,2021,United States,University of Illinois at Chicago,For contributions to theory of repetition protocols and wireless interference management 
Seng-Pan U,2016,Macau,University of Macau,For leadership in the analog circuit design 
Mohammad Uddin,2021,Bangladesh,University of Dhaka,For contributions to control techniques for AC motor drives 
Tetsuzo Ueda,2022,Japan,NTT (Nippon Telegraph and Telephone Corporation),For contributions to development and commercialization of III-V compound semiconductor technologies 
Lars Ulander,2017,Sweden,Chalmers University of Technology,For advances in VHF- and UHF-band synthetic aperture radar 
Sennur Ulukus,2016,United States,"University of Maryland, College Park",For contributions to characterizing performance limits of wireless networks 
Shambhu Upadhyaya,2022,United States,"University at Buffalo, The State University of New York",For contributions to the mitigation of insider attacks and malware in cyberspace 
Yukiharu Uraoka,2024,Japan,Nara Institute of Science and Technology,For contributions to reliability evaluation technology for thin film devices 
Masashi Usami,2015,Japan,Nagoya University,For contributions to development of high reliability semiconductor optical devices for undersea cable systems 
Wolfgang Utschick,2021,Germany,Technical University of Munich,For contributions to signal processing algorithms for multi-antenna communications systems 
Deepak Uttamchandani,2019,United Kingdom,University of Strathclyde,For contributions to photonics-based sensing 
Elif Uysal,2022,Turkey,Middle East Technical University,For pioneering contributions to energy-efficient and low latency communications 
Murat Uysal,2019,Turkey,Ozyegin University,For contributions to cooperative and diversity techniques in wireless and optical communications 
ANDREI VLADIMIRESCU,2017,France,"University of California, Berkeley",For contributions to the development and commercial adoption of SPICE circuit simulation 
YURII VLASOV,2015,USA,University of Illinois Urbana-Champaign,For contributions of silicon-integrated nanophotonics 
Subramanian Vadari,2023,USA,Washington State University,For leadership in electric power system planning and markets 
Ardalan Vahidi,2024,USA,Clemson University,"For contributions to control of connected, automated, and hybrid vehicles and applications of optimal control "
Jaideep Vaidya,2021,USA,Rutgers University,For contributions to privacy protection in data analytics and access control management 
Mikhail Vaiman,2022,USA,"V&R Energy Systems Research, Inc.",For contributions to methods and software for real-time analysis and control of electric power systems 
Marianna Vaiman,2024,USA,"V&R Energy Systems Research, Inc.",For contributions to transmission and distribution grids 
Shahrokh Valaee,2020,Canada,University of Toronto,For contributions to localization of wireless nodes 
Pietro Valdastri,2022,UK,University of Leeds,For contributions to medical capsule robots 
Marcelo Valdes,2018,Chile,Universidad de Chile,For contributions to improving the safety and reliability of low voltage power systems 
Matthew Valenti,2018,USA,West Virginia University,For contributions to cooperative diversity and development of distributed turbo codes 
Vesa Valimaki,2015,Finland,Aalto University,For contributions to synthesis and processing of audio signals 
Mikko Valkama,2022,Finland,Tampere University,For contributions to physical layer signal processing in radio systems 
Dimitri Van De Ville,2020,Switzerland,École Polytechnique Fédérale de Lausanne (EPFL),For contribution to image processing for computational brain imaging 
Nathan Van De Wouw,2021,Netherlands,Eindhoven University of Technology,"For contributions to hybrid, data-based and networked control "
A. Frank Van Der Stappen,2017,Netherlands,Utrecht University,For contributions to the algorithmic foundations of robotics and automation 
Daniel Van Der Weide,2022,United States,University of Wisconsin–Madison,For contributions to ultrafast terahertz electronics and biomedical applications of microwave technologies 
Piet Van Mieghem,2023,Netherlands,Delft University of Technology,For contributions to network modeling and quality of service based routing 
Paul VanOorschot,2019,Canada,Carleton University,For contributions to applied cryptography and authentication 
Peter Varman,2020,United States,Rice University,For contributions to input/output scheduling algorithms for storage systems 
Kush Varshney,2024,United States,IBM Research,For contributions to socially responsible and trustworthy machine learning 
Nuno Vasconcelos,2017,United States,"University of California, San Diego","For contributions to computer vision, image processing, and multimedia "
Mayank Vatsa,2022,India,Indian Institute of Technology Jodhpur,For contributions to secure biometric recognition 
John Vaughan,2015,Ireland,Dublin City University,For contributions to high-field magnetic resonance imaging technology 
Sergio Vazquez,2021,Spain,University of Vigo,For contributions to control techniques for power converters and drives 
Victor Veliadis,2018,United States,North Carolina State University,For contributions to development of SiC power devices 
Narasimham Vempati,2020,India,Indian Institute of Technology Hyderabad,For contributions to power system state estimation and transmission congestion markets 
Ganesh Venayagamoorthy,2021,United States,Missouri University of Science and Technology,For contributions to the application of artificial intelligence to power systems 
Giri Venkataramanan,2024,United States,University of Wisconsin-Madison,For contributions to control of energy resources in microgrids 
K Venugopal,2016,India,Jawaharlal Nehru Technological University,For contributions to computer science and electrical engineering education 
Luisa Verdoliva,2021,Italy,University of Naples Federico II,For contribution to multimedia forensics 
Michel Verleysen,2015,Belgium,Université catholique de Louvain,For contributions to high-dimensional analysis and manifold learning 
Pierre Verlinden,2023,Australia,SunPower Corporation,For leadership in high performance silicon solar cell and photovoltaics technology and commercialization 
Jeffrey Vetter,2017,USA,Oak Ridge National Laboratory,For contributions to high performance computing 
Peter Vetter,2022,Netherlands,Nokia Bell Labs,For leadership in broadband access technologies in advanced passive optical networks 
Mahinda Vilathgamuwa,2020,Singapore,Nanyang Technological University,For contributions to power quality and grid storage 
Tuomas Virtanen,2021,Finland,Tampere University,For contributions to sound event detection and source separation 
Silverio Visacro,2016,Brazil,Federal University of Minas Gerais,For contributions to lightning protection 
Dimitris Visvikis,2022,France,Université de Bretagne Occidentale,For contributions to image reconstruction and analysis of positron emission tomography 
Mahesh Viswanathan,2015,USA,University of Illinois at Urbana-Champaign,For contributions to ubiquitous access to cloud computing and to vehicular speech communications 
Sorin Voinigescu,2017,Canada,University of Toronto,For contributions to silicon and silicon-germanium microwave and millimeter-wave devices and integrated circuits 
Joel Voldman,2021,United States,Massachusetts Institute of Technology,For contributions to electronic microscale manipulation of cells 
Sergiy Vorobyov,2018,Finland,Aalto University,For contributions to optimization in robust signal processing 
Richard Voyles,2022,United States,Purdue University,For leadership in the implementation of programs that foster robotics research and the robotics community 
Sarma Bala Vrudhula,2016,United States,Arizona State University,For contributions to low-power and energy-efficient design of digital circuits and systems 
Valeriy Vyatkin,2022,New Zealand,Auckland University of Technology,For contributions to software development methods and practices in industrial automation 
REBECCA WILLETT,2022,United States,University of Chicago,For contributions to the foundations of computational imaging and large-scale data science 
Alexander Waibel,2015,Germany,Karlsruhe Institute of Technology,For contributions to neural network based speech recognition and translation and multimodal interfaces 
Michael Wakin,2021,United States,Colorado School of Mines,For contributions to sparsity-based signal processing and compressive sensing 
Christian Waldschmidt,2022,Germany,University of Stuttgart,For contributions to millimeter wave automotive radar sensors 
Bernhard Walke,2016,Germany,RWTH Aachen University,For contributions to packet switching and relaying in cellular mobile system 
Cliff Wang,2016,United States,North Carolina State University,For leadership in trusted computing and communication systems 
Danwei Wang,2021,Singapore,Nanyang Technological University,"For contributions to modelling, analysis, and control for constrained robots "
Dongmei Wang,2022,United States,IBM Research,For contributions to biomedical informatics and AI 
Jiangzhou Wang,2017,United Kingdom,University of Kent,For contributions to multiple access and resource allocation in wireless mobile communications 
Hong Wang,2023,United Kingdom,University of Manchester,For contributions to learning control and diagnosis for complex dynamical systems 
Yuanxun Wang,2019,United States,"University of California, Los Angeles",For contributions to time-varying and nonlinear electromagnetic devices and systems 
Li-C Wang,2018,United States,"University of California, Santa Barbara",For contributions to statistical timing analysis for integrated circuits 
Jia Wang,2016,United States,AT&T Labs,For contributions to measurement and management of large operational networks 
Haining Wang,2020,United States,Virginia Tech,For contributions to network and cloud security 
Yingxu Wang,2021,Canada,University of Calgary,For contributions to  real-time autonomous systems 
Jian-Ping Wang,2015,USA,University of Minnesota,"For contributions to magnetic material and spintronic devices for magnetic recording, information processing and biomedical applications "
Wenye Wang,2017,USA,North Carolina State University,For contributions to modeling and performance evaluation of wireless networks 
Xianbin Wang,2017,Canada,Western University,For contributions to OFDM systems and distributed transmission technologies 
Yunhong Wang,2020,China,Beihang University,For contributions to iris and face recognition 
Zhihua Wang,2017,China,Tsinghua University,For contributions to circuits and microsystems for medical applications 
Jianqing Wang,2021,Japan,Nagoya Institute of Technology,For contributions to electro-magnetic compatibility of biological and wearable/implant devices 
Peng Wang,2018,Singapore,Nanyang Technological University,For contributions to power system reliability and hybrid AC/DC micro-grids 
Xudong Wang,2018,USA,University of Texas at Arlington,For contributions to wireless mesh networks 
Jianyong Wang,2017,China,Tsinghua University,For development of efficient data mining algorithms 
Tza-Huei Wang,2020,USA,Johns Hopkins University,For contributions to micro- and nano-technologies for biomedical applications 
Cheng-Xiang Wang,2017,United Kingdom,Heriot-Watt University,For contributions to wireless channel modeling for vehicular networks 
Zhen Wang,2017,China,Tianjin University,For contributions to statistical signal processing for multimedia security and brain data analytics 
Jin Wang,2021,China,Yangzhou University,For development of high density power converters and their use in electric cars 
Jun Wang,2022,Hong Kong,City University of Hong Kong,For contributions to low power disk storage system design 
Shuo Wang,2019,United States,University of Florida,For contributions to reduction of electromagnetic interference in electronic systems 
Xin Wang,2023,China,Fudan University,For outstanding contributions to wireless localization and dynamic resource allocation in broadband mobile networks 
Jianping Wang,2023,Hong Kong,City University of Hong Kong,For contributions to resiliency of complex systems 
Yinhai Wang,2023,United States,University of Washington,"For contributions to traffic sensing, transportation data science, and smart infrastructure systems "
XiaoFeng Wang,2019,United States,Indiana University Bloomington,For contributions to system security and genomic privacy 
Hua Wang,2023,Australia,Victoria University,For contributions to high-efficiency microwave and millimeter-wave power amplifiers 
Honggang Wang,2021,China,Harbin Institute of Technology,For contributions to low power wireless for IoT and multimedia applications 
Lizhe Wang,2021,China,China University of Geosciences,"For contributions to high performance computing in processing, analysis and applications of remote sensing imagery "
Junmin Wang,2024,USA,The Ohio State University,For contributions to ground vehicle safety 
Yu Wang,2022,China,Tsinghua University,For contributions to domain specific accelerator design 
Qian Wang,2023,China,Wuhan University,For contributions to secure cloud data storage and wireless system security 
Chih-Chun Wang,2024,USA,Purdue University,For contributions to graph-based error-correcting codes and network codes 
Xiaorui Wang,2021,USA,The Ohio State University,For contributions to power management of data center servers and embedded systems 
Wenping Wang,2017,Hong Kong,The University of Hong Kong,For contributions to computer graphics and solid modeling 
Haixun Wang,2018,USA,Microsoft Research,For contributions to knowledge bases for text understanding 
Jianhui Wang,2021,USA,Southern Methodist University,For contributions to unit commitment and economic dispatch with renewable generation 
Liang Wang,2019,China,Chinese Academy of Sciences,For contributions to video-based human identification and motion analysis 
Jian Wang,2024,China,Huazhong University of Science and Technology,"For contributions to twisted light, structured light, and photonic integration for multi-dimensional optical communications "
Jue Wang,2023,China,Tsinghua University,For contributions to quality of image and video matting processing 
Hong Wang,2021,United Kingdom,University of Manchester,"For development, integration,  and commercialization of novel dielectric ceramics and composites for passive integration "
Ping Wang,2022,Canada,York University,For contributions to radio resource allocation and performance modeling of heterogeneous wireless networks 
Jingdong Wang,2022,China,Baidu,For contributions to visual content understanding and retrieval 
Xiaoyu Wang,2023,China,Nanjing University of Science and Technology,For contributions to video analysis technologies for embedded systems 
Cong Wang,2021,Hong Kong,City University of Hong Kong,For contributions to security of cloud storage and computation 
Zhaocheng Wang,2021,China,Tsinghua University,For contributions to pilot design and modulation of OFDM wireless systems 
Xiongfei Wang,2023,Finland,Aalto University,For contributions to power-electronic-based power systems 
Guiling Wang,2022,USA,New Jersey Institute of Technology,For contributions to distributed algorithm design for sensor networks and vehicular networks 
Qing Wang,2022,China,Chinese Academy of Sciences,For contributions to polymer dielectrics for capacitive energy storage 
Simon Warfield,2019,USA,Harvard Medical School,For contributions to medical imaging 
Zbigniew Wasilewski,2023,Poland,Warsaw University of Technology,For contributions to molecular beam epitaxy growth technology and photonic devices 
Edson Watanabe,2017,Brazil,Federal University of Rio de Janeiro,For contributions to the application of power electronics for power conditioning 
Shinji Watanabe,2023,USA,Carnegie Mellon University,For contributions to speech recognition technology 
John Watson,2020,United Kingdom,University of Aberdeen,For contributions to the development of submersible holography and in-situ imaging of marine organisms 
Keith Wear,2023,USA,U.S. Food and Drug Administration,For applying acoustic pressure measurements to improve the safety and effectiveness of medical ultrasound 
ShaoJun Wei,2019,China,Tsinghua University,For leadership in integrated circuits engineering of smart cards and reconfigurable devices 
Zhi Wei,2024,USA,New Jersey Institute of Technology,For contributions to knowledge discovery from biological data 
Mark Weichold,2015,United States,Texas A&M University,For contributions to international development of engineering education 
Robert Weikle,2018,United States,University of Virginia,For contributions to millimeter-wave and submillimeter-wave electronics and instrumentation for terahertz frequencies 
James Weiland,2017,United States,University of Michigan,"For contributions to the design, development, and realization of retinal prostheses "
David Weiss,2015,United States,University of Texas at Arlington,For contributions to software measurement and product line engineering 
Paul Weiss,2021,United States,"University of California, Los Angeles",For contributions to nanoscience and specifically electronic transport in molecular systems 
Mark Allen Weiss,2018,United States,Florida International University,For advancements in computer science education 
Stephen Welby,2018,United States,United States Department of Defense,For leadership in defense and aerospace systems engineering 
Gregory Welch,2022,United States,University of Central Florida,For contributions to tracking methods in augmented reality applications 
Brian Welchko,2024,United States,General Motors,For contributions to electric propulsion systems 
Thomas Weller,2018,United States,University of South Florida,For contributions to modeling and design of passive microwave circuits and components 
Yonggang Wen,2020,Singapore,Nanyang Technological University,For contributions to cloud systems for multimedia signal processing and communications 
Geyi Wen,2021,China,Shanghai University,For contributions to antenna quality factor 
Chao-Kai Wen,2024,Taiwan,National Yang Ming Chiao Tung University,For contributions to deep learning technology for wireless systems 
Fushuan Wen,2021,China,Zhejiang University,For contributions to fault diagnosis in power grids 
Qihao Weng,2018,USA,Indiana State University,For contributions to urban remote sensing 
Stefan Werner,2023,Norway,Norwegian University of Science and Technology,For contributions to in-band full-duplex wireless communication systems and selective data-reuse online learning 
Richard Wesel,2020,USA,"University of California, Los Angeles",For contributions to channel coding and reliable communication 
David Whalley,2017,USA,Florida State University,For contributions to architectural and compilation techniques to meet embedded system constraints 
Patrick Wheeler,2021,UK,University of Nottingham,For contributions to matrix power converter technology 
David Whelan,2018,USA,"University of California, San Diego","For leadership in space-based navigation, synchronization, and surveillance "
J Turner Whitted,2019,United States,University of North Carolina at Chapel Hill,For contributions to computer graphics 
Joerg Widmer,2020,Germany,IMDEA Networks Institute,For contributions to wireless networking and millimeter-wave communications 
Mark Wilde,2023,United States,Louisiana State University,For contributions to the relative-entropy framework and theorems for quantum communications 
James Wilkinson,2018,United Kingdom,University of Southampton,For contributions to integrated photonics 
Matthew Wilkowski,2022,United States,Google,For innovative contributions advancing the power management industry and magnetics production 
Laurie Williams,2018,United States,North Carolina State University,For contributions to reliable and secure software engineering 
Jason Williams,2023,United States,Johns Hopkins University,For contributions to the theory and practice of machine-learning-based spoken dialog systems 
Sheldon Williamson,2020,Canada,Ontario Tech University,For contributions to electric energy storage systems for transportation electrification 
Blake Wilson,2015,United States,Duke University,For development of cochlear implants 
Stefan Winkler,2018,Singapore,National University of Singapore,For contributions to perceptual video quality measurement 
Philip Winston,2018,,,For development of standards in power system protection reliability 
David Wipf,2024,China,Microsoft Research Asia,For contributions to detecting low-dimensional data structures 
Brendt Wohlberg,2023,USA,Los Alamos National Laboratory,For contributions to computational imaging and sparse representations 
Tilman Wolf,2023,USA,University of Massachusetts Amherst,For contributions to design of network processors and in-network processing services 
Andrew Wolfe,2022,USA,Rice University,For contributions in hardware code compression of embedded software power consumption analysis and optimization 
David Wolpert,2016,USA,Santa Fe Institute,"For contributions to optimization, machine learning, distributed control, and  game theory "
Stephen T Wong,2018,USA,Houston Methodist Hospital,"For leadership in drug discovery, systems biology, bioinformatics, and health analytics "
Vincent Wong,2016,Canada,University of British Columbia,For contributions to mobility management in wireless networks and demand side management in smart grid 
Kai-Kit Wong,2016,UK,University College London,For contributions to multiuser communication systems 
Roger Woods,2024,UK,Queen's University Belfast,For contributions to VLSI chips and FPGA implementations for signal processing 
Daniel Worledge,2023,United States,IBM Research,For contributions to magneto-resistive random access memories 
Steve Wozniak,2020,United States,"University of California, Berkeley",For development of personal computers 
Rebecca Wright,2018,United States,"Barnard College, Columbia University",For contributions to applied cryptography and privacy 
Ji Wu,2015,China,Tsinghua University,For leadership in satellite remote sensing programs 
Ernest Wu,2016,USA,Texas Instruments,For contributions to gate oxide reliability of CMOS devices 
An-Yeu (Andy) Wu,2015,Taiwan,National Taiwan University,For contributions to DSP algorithms and VLSI designs for communication IC/SoC 
Hsiao-Chun Wu,2015,United States,Louisiana State University,For contributions to digital video broadcasting and wireless systems 
Yifeng Wu,2021,China,Shanghai Jiao Tong University,For contributions to Gallium Nitride microwave and power conversion devices 
Guangning Wu,2019,China,Tsinghua University,For contributions to traction power supply equipment diagnostics for high-speed electrified railways 
Zhaohui Wu,2019,China,Zhejiang University,For contributions to intelligent service computing 
Hongyi Wu,2020,United States,University of Arizona,For contributions to resilient mobile computing systems 
Naiqi Wu,2019,China,South China University of Technology,For contributions to discrete-event production systems 
Dongrui Wu,2023,China,Huazhong University of Science and Technology,For contributions to fuzzy logic and its applications to controls and decision-making 
Jianzhong Wu,2024,United Kingdom,Cardiff University,For contribution to multi-energy systems and peer-to-peer energy trading 
Barry Bing-Ruey Wu,2024,Taiwan,National Chiao Tung University,For contributions to enhancement and commercialization of InP-based ultra-high-speed DHBT IC technology 
Wenchuan Wu,2021,China,Tsinghua University,"For contributions to energy management, operations, and control "
Lei Wu,2022,United States,Clarkson University,For contributions to stochastic modeling and optimization of power systems and large interdependent infrastructures 
Yongwei Wu,2023,China,Tsinghua University,For contributions to high-performance data storage and data-intensive computing systems 
Qihui Wu,2024,China,Nanjing University of Posts and Telecommunications,For contributions to cognitive radio networks 
Kaishun Wu,2023,China,Shenzhen University,For contributions to wireless sensing and ubiquitous computing 
Min Wu,2019,United States,University of Maryland,For contribution to control and automation for complex systems 
Ligang Wu,2020,China,Harbin Institute of Technology,For contributions to sliding mode control and robust filtering 
Cathy Wu,2022,United States,Massachusetts Institute of Technology,For contributions to computational biology and data science 
Peter Wurman,2022,United States,North Carolina State University,"For contributions to computational auction, multiagent systems and robotics "
Henk Wymeersch,2024,Sweden,Chalmers University of Technology,For contributions to radio localization and sensing 
Qiangfei Xia,2023,United States,University of Massachusetts Amherst,For contributions to resistive memory arrays and devices for in-memory computing 
Pengfei Xia,2020,Canada,Concordia University,For contributions to multi-input multi-output millimeter wave wireless communications 
Yuanqing Xia,2024,China,Beihang University,For contributions to controlling unmanned systems 
Yang Xiang,2020,Australia,Swinburne University of Technology,For contributions to network and system security 
Yang Xiao,2020,United States,University of Alabama,For contributions to wireless medium access control 
Jing Xiao,2024,United States,University of North Carolina at Charlotte,For contributions to the multiple modality knowledge mining technologies 
Gaozhi Xiao,2015,Canada,National Research Council Canada,For contributions to the development of safety and security monitoring instrumentation and measurement technologies 
Xiaolan Xie,2015,France,École des Mines de Saint-Étienne,For contributions to systems engineering for healthcare and manufacturing 
Yuan Xie,2015,United States,"University of California, Santa Barbara",For contributions to design automation and architecture of three-dimensional integrated circuits 
Jiang Xie,2020,United States,University of North Carolina at Charlotte,For contributions to mobility and resource management of wireless networks 
Huikai Xie,2018,United States,University of Florida,For contributions to micro-electromechanical optical scanning systems 
Tao Xie,2018,United States,University of Illinois at Urbana-Champaign,For contributions to software testing and analytics 
Shengli Xie,2019,China,South China University of Technology,For contributions to blind source separation and its applications 
Chongjin Xie,2021,China,Alibaba Group,For contributions to optical transmission and  datacenter optical networking 
Xiaorong Xie,2024,China,Sun Yat-sen University,For contributions to analysis of subsynchronous resonance in electrical power systems 
Xing Xie,2022,China,Microsoft Research Asia,For contributions to spatial data mining and recommendation systems 
Sheng Xie,2024,China,South China University of Technology,For contribution to robotics for rehabilitation and healthcare 
Hao Xin,2018,United States,University of Arizona,For contributions to electromagnetic metamaterials and 3D printing of metamaterial structures 
Mengdao Xing,2020,China,Xidian University,For contributions to radar imaging and motion compensation algorithms 
Huili Grace Xing,2022,United States,Cornell University,For contributions to GaN high-electron-mobility transistors 
Guoliang Xing,2020,United States,Washington University in St. Louis,For contributions to sensor networks and low-power wireless networks 
Li Xiong,2022,United States,Emory University,For contributions to privacy preserving and secure data sharing 
Jinjun Xiong,2024,United States,"University at Buffalo, SUNY","For contributions to process variation modeling, circuit yield optimization, and their applications in industry "
Mingzhou Xu,2023,China,Nanjing University of Aeronautics and Astronautics,For contributions to power systems of all-electric aircraft 
Li Xu,2016,China,Tsinghua University,For contributions to theory and applications of enterprise information systems 
Jianbin Xu,2018,China,The Chinese University of Hong Kong,For contributions to nanoscale electronic materials and devices 
ChengZhong Xu,2016,China,University of Macau,For leadership in resource management for parallel and distributed systems 
Dianguo Xu,2017,China,Harbin Institute of Technology,For contribution to control of electrical drives and power electronic converters 
Zheng Xu,2021,China,Nanjing University of Aeronautics and Astronautics,For contributions to control and modeling of modular multilevel converter based HVDC transmission systems 
Lijun Xu,2023,China,Shanghai Jiao Tong University,For contributions to multiphase flow measurement and combustion process monitoring 
Wenyuan Xu,2024,China,Zhejiang University,For contributions to embedded systems for automobile security 
Zeshui Xu,2019,China,Sichuan University,For contributions to decision-making methodologies 
Wei Xu,2024,China,Tsinghua University,For contributions to design and control of linear and rotary machines and drives 
Ying Xu,2022,USA,University of Georgia,For contributions to knowledge discovery from biological data 
Jingling Xue,2023,Australia,University of New South Wales,For contributions to compiler optimization and program analysis 
Bing Xue,2024,New Zealand,Victoria University of Wellington,For contributions to evolutionary deep learning 
Chunhua YANG,2022,China,Beihang University,For contributions in intelligent control and optimization of complex industrial processes 
Liangzhong YAO,2022,China,Southern University of Science and Technology,For leadership in HVDC grid supporting integration of large wind farms 
Isao Yamada,2015,Japan,Keio University,For contributions to inverse problems and learning in signal processing 
